titles,category
포스코홀딩스  핵심사업 성장 투자 구조개편 추진  년간 매출성장률      목표,Economic
최상목  면세 주류  병 제한 없앤다  면세점 특허수수료     인하 ,Economic
남양유업  설탕 든 불가리스에  제로  붙인 이유,Economic
금감원 특별단속 소식에 우원식 이재명 정치테마주  주춤  핫종목 ,Economic
 펜타역세권에 인프라까지 중랑 대장 아파트는 이곳 ,Economic
니켈   년래 최저    엎친 데 덮친 격   배터리 어쩌나,Economic
 보조금 확정  삼성   하닉    공장 큰그림 어떻게 되나 ,Economic
샤페론  글로벌 헬스케어 컨퍼런스 참가  임상결과 발표 ,Economic
내년도  경제계 신년인사회    년 만에 상의 중기중앙회 따로 연다,Economic
 밤 티라미수부터 골드바까지  편의점  설선물 판매   전쟁 ,Economic
잇단 스팩 상장폐지    삼성증권도 상폐 수순,Economic
금융위   내년부터 법인 가상자산 계좌 허용  보도에  사실 아냐 ,Economic
미래 삼성 신한도   판 커지는 증권사 기관전용 부동산    진출,Economic
의대교수 양심고백  전공의 선발에 비리 절반 탈락  환자 볼모 잡는 짓 ,Economic
 고물가 고금리 고환율 에 대기업   곳도 부실 징후가 보인다,Economic
계엄 탄핵 정국에 날뛰는  정치테마주   금감원  특별단속 가동,Economic
혼다 닛산 내년  월 합병 목표로 추진   세계  위 자동차 기업 초읽기,Economic
박상우 국토부 장관  비상계엄 잘못 주택 정책 일관되게 추진  종합 ,Economic
 내년부터 배당 소득 줄어도 건보료에 빠르게 반영 가능 ,Economic
스타트업 단체  뉴진스 사태에  투자 생태계 근간 훼손 ,Economic
  세 이상 노인 셋 중 하나  취업   인당 진료비 연    만원,Economic
탄핵정국 속 어두워진 상업용 오피스 시장 매물 우르르 쏟아졌지만 소화될까  우려 ,Economic
 니켈 사업 자신감에도  제이스코홀딩스  자금조달 연기 잇따라,Economic
현대건설 건설사 최초로  등급 바닥구조 상용화,Economic
편의점 설 선물 판매 돌입  푸른 뱀  담은 주류부터 금메달까지,Economic
 단독   직원 안전이 최우선     스마트폰 왕국  삼성  스몸비 방지에 앞장,Economic
 비트코인  생산적 자산으로 만들 것         선보인 스택스  매일코인 ,Economic
무정자증 남편  이 시술 했더니  아빠  됐다  년새   배  급증 ,Economic
 한국 증시는 바겐세일 중    러시아보다 못한 코스피  뼈 아픈 기록    녹취록 ,Economic
 르포   원룸이  억  없어서 못 팔죠  용산 후암동 가격도  고도제한  풀렸네  부동산    ,Economic
철도공사 왜 이러나       특실 할인율  장난질 ,Economic
올해  부실징후기업     곳 선정   등급  급증,Economic
환자들 울린 외과 의사 암 수술  년  특별한 편지가 도착했다,Economic
  엔솔  퀄컴과 손잡고 첨단     솔루션 상용화,Economic
주가 반토막 난 포스코홀딩스    년 간 자사주    소각한다,Economic
아시아나  이코노미 비지니스 중간등급 승객에 라운지 계속 제공,Economic
뉴진스 어도어 분쟁에 스타트업 단체   스타트업 투자 위축 ,Economic
평택시  하루   만  하수처리시설 내년  월 착공,Social
헌법재판관 인사청문회 마은혁  권한대행  국회 추천 재판관 임명 적절 ,Social
헌재   탄핵 서류    일 송달 효력   일 변론준비일 예정대로   보 ,Social
이승환  보수 우익단체 여러분 감사합니다    구미 콘서트 매진 임박하자    에 올린 글,Social
      서울콘    일 개막 글로벌 인플루언서     팀 서울에 모인다,Social
윤석열  공수처  차 출석요구서도 수령 거부,Social
수험생  논술 시험 무효  소송 취하서 제출  목적 달성 어려워 ,Social
서대문구  구 예산안 민주당 기습적 수정 가결 재의요구할 것 ,Social
안산 점집서 확보된  계엄 수첩  노상원 전 정보사령관 추궁하는 경찰,Social
 내란 중요임무 종사  여인형 방첩사령관 구속 연장,Social
   송달 꼼수  안통한다 탄핵  속전속결  분명해졌다  세상  ,Social
 속보  헌재  윤 대통령 탄핵심판 서류   일 송달 간주   일 첫 기일 ,Social
유시민   가짜뉴스 피해  한동훈에     만원 배상 확정 항소 포기,Social
김태흠  대통령 당당하지 못하다  탄핵심판 서류 안받는   비판,Social
 노상원 수첩에  북 공격 유도     이 시각 특수단,Social
입사   개월 만에 전무로 초고속 승진  오너  세    오리온 담서원은 누구,Social
 화장실 문 열렸는데 어떻게   소변기에 대변 누고 간 중국인,Social
  년간 이겨내줘 고맙습니다  위암 환자에 감사편지 쓴 의사,Social
휴대전화 압수당한 우종수 국수본부장  검찰에  이해 어려워 ,Social
   문화의 힘 대단해 응원봉과   팝으로 대통령 탄핵   월간중앙 ,Social
김태흠 지사  양곡관리법  농업 농촌 죽이는 일 쌀 관리비만 연  천억 ,Social
계속된 수취거절에 헌재      일 송달 간주    일 첫 기일,Social
한덕수 권한대행 탄핵 의결 정족수는    명일까     명일까 ,Social
   검찰 수사관도 있었다   라임 몸통  도피자금 마련한 일당 기소,Social
경찰  방첩사가 인력 요청 때  체포조  언급    명 경찰 인력 대기도,Social
김해 군부대 유류탱크 폭발사고 작업자  명 부상,Social
구미시장  이승환 콘서트 대관 취소  이승환  법적 대응  종합 보 ,Social
 체포조 의혹  국수본  비상계엄 수사 적정한가 공정성 논란,Social
레이크머티리얼즈  석유화학촉매 해외 진출 본격화 중동 석유화학 사빅과 파트너십 체결,Social
배우 김부선  이재명 언급  대통령 되면  처럼 계엄령 때리겠냐 ,Social
 사무실 왜 안 빼느냐   임차인 사무실서 분신 시도한 임대인,Social
경남 김해시 군부대서 폭발 사고     명 중상  명 경상  종합 ,Social
윤석열  공수처  차 출석요구서도 수령 거부,Social
 년차 공무원의 사망  비극의 시작은 학교 행정실 업무 폭증 ,Social
장경태  김건희  계엄 당일 성형외과  시간 있었단 제보 ,Social
 어  선 넘네   택시기사 기지로 음주운전 미등록 외국인 추적 끝에 검거,Social
 구미 공연 취소  이승환  십자가 밟기 강요당해 법적 대응할 것 ,Social
야산서 수거하고 공유 숙소서 수령   외국인 마약 운반책 잇따라 적발,Social
 속보     살인데 시민분열 생각해야  이승환  구미콘서트 취소 법적대응 예고,Social
 가짜뉴스 유포  유시민  한동훈에  천만원 배상 확정,Social
검찰  강혜경   일 만에 재소환 오세훈 여론조사 관련,Social
김해 군부대서 의문의 폭발사고 민간인  명 부상,Social
경남 거제에서 부산역까지  광역급행형버스  달린다,Social
 탄핵 집회 지원했던 아이유  진심 슬펐다  토로한  ,Social
 수취 거절 수취인 불명  윤 대통령   차 출석요구서 모두 미수령,Social
 트랙터 시위  비판한 윤상현  법질서 무너뜨린 난동 세력 몽둥이가 답 ,Social
    코리아   뉴              출시  전기모드     주행 ,Culture
스트레이 키즈  미국 빌보드 앨범 차트  회 연속  위,Culture
초대형 오페라 공연 첫날부터 시끌 연출가  내 이름 빼달라 ,Culture
문체부  콘텐츠 분야 공공기관장 회의  대중음악 공연 등 정상 진행 ,Culture
차봇  올해 인기 차량      기아 강세  하이브리드     전기차 선호 ,Culture
 만다라   씨받이  쓴  영화계 거장  송길한 별세,Culture
출근길 한파 계속  서울 체감   도 경기 강원 충북 한파특보 날씨 ,Culture
유튜브로     만원 번    만 유튜버   적자다  말한 이유는 ,Culture
         할인 이라더니 코레일  꼼수  적발,Culture
올해 가장 사랑받은 차는       시리즈 제네시스    ,Culture
 전기차 하면 떠오르는 나라  미국   한국 줄고 중국 늘었다,Culture
이승환 구미 공연 취소 이유  정치적 언행 금지 서약 거부해서 ,Culture
이승환   정치 언행 않겠다  서약 거부  구미공연 취소 통보 진짜 이유 ,Culture
 이 증상  방치했다가  식도암  기 진단    알고 보니  마른 피  구토까지 ,Culture
자녀 셋 둔   대 엄마   명에 생명 나누고 떠나,Culture
성악가들이 아까웠던 코엑스  투란도트 의 총제적 난국,Culture
  분 지연  연출가 결별   투란도트  공연 파행,Culture
모델 김진경   이것  안 넣은 빵 소개  소화 잘 되고  다이어트에도 도움 ,Culture
대장암  전체  위 암 되나     장 건강에 최악 식습관은 ,Culture
한강을  노벨상으로  이끈  작은 찻잔,Culture
공금 횡령하고 직원에게 갑질한 별정우체국장    해임 적법 ,Culture
내년부터 이자 배당 연금 소득도 건보료 정산 가능,Culture
 날씨  중북부 올겨울 첫 한파경보 낮에도 겨울 추위,Culture
 부실복무 의혹  송민호 오늘 소집해제    반쯤 누워 게임만  증언도,Culture
서울에선 자녀 넷을 키울 수 없어서,Culture
 날씨  오늘 맑지만 낮에도 찬바람   중부 곳곳 한파특보,Culture
  년간  이 약  복용한   대    약 끊었더니  동성애 로 바뀌었다고 ,Culture
 날씨  경기 북부  한파경보  낮에도 곳곳 체감 영하권,Culture
근육질 몸 위해  이것  사용 급증     고환도 작아진다  경고,Culture
정오에도 중부 곳곳 영하권   올해 성탄절 날씨는 ,Culture
 오후날씨 꿀팁  중부 곳곳 한파특보 동해안 대기 건조,Culture
학교는 불평등의 주범인가  아니면 축소자인가,Culture
배터리 소재  리튬   자폐증 치료에도 효과,Culture
 미션리포트     여 개 언어 종족으로 구성된  파푸아뉴기니 ,Culture
크리스마스 트리  변기보다 더럽다고  세균 최대  배 많아,Culture
세대 불문 직장인의 이직 동기는 ,Culture
   만원 티켓  투란도트  파행 연출가 떠나고  관객 환불 요구,Culture
 투란도트  파행  연출자  내 작품아냐  하차 선언    제작사  형사소송 검토 ,Culture
신애라  차인표와 아침마다  이것 해    잉꼬부부 비결 ,Culture
 날씨  오늘도 체감      강추위   올해 성탄절 날씨는 ,Culture
아시아나가 쏜다   제주노선 마일리지 항공석     석 추가 공급,Culture
 육아삼쩜영  호외 처음 본 아이의 질문  여긴 좋은 신문사야  ,Culture
 갑자기 시야 흐려지고 형체 안 보여  박규리    대에  이 질환  겪었다  얼마나 심각했길래 ,Culture
김홍균 외교  차관      방문   한미일 협력 등 논의,World
 북한군  방향 바꿔 숲으로 진격 준비  인해전술 고집  여전 ,World
트럼프  이번엔  파나마 운하  욕심  파나마  모욕적  발끈,World
트럼프  머스크가 미 대통령 될 수 없는  진짜  이유는  ,World
시리아 실권자  모든 반군 해체 후 국군으로 통합할 것 ,World
 중국 정부  내년 상반기 일본 수산물 수입금지 해제 검토 ,World
 평균 주택면적       년전 수준 후퇴  가격 급등이 원인 ,World
 크리스마스 트리  변기보다 더럽다 ,World
트럼프는 틱톡 퇴출 반대  요 멍청한 놈을 한동안은 유지해야 ,World
   계엄 정치혼란  북한에 이익  암살부대  무기 정보도 획득   언론 지적 핫이슈 ,World
인도에서 재현되는     년대   스타일 주식 붐,World
트럼프  알래스카 디날리산  관세 올린 전 대통령 이름으로 되돌린다 ,World
일본 집  다시 점점 좁아진다 공동주택은     수준,World
비트코인의  위협 양자컴  수조달러 손실 발생할 것 ,World
 북한군  숲으로 진격 준비 수백명 사상하고도 인해전술 고집 ,World
 위기의 일본   역대급 가계빚에 개인 파산 속출,World
 피임약 중단하니 레즈비언 됐다  호주 여성의  충격  고백,World
 세계는 지금  독재 잔재 드러나는 시리아   고민에 빠진 서방,World
팬데믹 인플레에  소매업 먹구름 올해만   곳 파산 신청,World
  이웃들  트럼프 위협에 눈치보며 동조   다음은  파나마 ,World
 예산안  머스크 입김에 트럼프  대통령직 양도  가짜뉴스  ,World
일본 가계대출이 소득 넘어서 늘어나는 부채로 파산 사망 증가,World
 롯데리아가 계엄 성지  영국 언론도 조명  내란 버거 도 다뤄,World
에어버스 투입한 말레이항공  기술적 문제로 여객기 운항 중단,World
중국  미국은 자기가 지른 불에 탈 것  대만 군사지원에 반발,World
말레이항공  첫 투입 에어버스 여객기 운항 중단  기술적 문제 ,World
 탁구   왕추친 심전도 자랑한  의사 뭇매  의료윤리 실종 ,World
 탄핵  정국 넘어도 험란   내년엔    핵 그림자  온다,World
출생지는 러시아  사인은 한글     우크라    군인  러 위조 신분증 사용 ,World
시리아 실권자  모든 반군 해체 후 국군으로 통합할 것 ,World
 한국 독자적 핵무장  언급했던 콜비   국방부 정책차관 지명,World
운하 반납하라는 트럼프   파나마 발끈  한치도 못 내줘 ,World
 빠른 회동  공감대 다지는 트럼프 푸틴   종전협상 급물살 타나,World
 나토 방위비 지출 기준 현행 기준 넘어설 것      대비    압박설도,World
미 해군  홍해서 아군 전투기 오인 격추   조종사  명 무사 ,World
  전문가  트럼프  기   에 유리  년간 전쟁은 안 할 것 ,World
국제유가   인플레 둔화 셧다운 위기 해소에 상승          달러,World
 한국 자체 핵무장론  엘브리지 콜비  미 국방차관 지명,World
 통행료 비싸 운하 반환해  트럼프   친미  파나마도 위협,World
트럼프  논란에도 출생시민권 폐지 준비 중  법적 싸움도 불사 ,World
트럼프  파나마운하 반환 요구할 것  이번엔 파나마 협박,World
시리아에 봄 올까 실권자  모든 종교 포용 무기 국가통제  종합 ,World
트럼프  국방차관에  억만장자 투자자  스티븐 페인버그,World
북한  러시아에 북극성  형 공급 정황  러시아에 비슷한 무기 없어 ,World
일본 국민민주당  젊은층 지지율    대로  위  돌풍  비결은 ,World
  클라우드  클라우드 데이터센터 본부장 신규 선임,IT
 작년 국내 전자문서산업 매출   조 천억     년보다     성장 ,IT
      정부 유료방송 이용자 만족도   위 ,IT
진코어  초소형 유전자 가위 기술  국가전략기술 해당 판정,IT
            기술 총결집   글로벌    비서  애스터  공개          ,IT
내년 첫 일출 독도서 오전  시  분 서울  시  분,IT
내년  추론     대전 열린다    오픈       에 가까워진    공개,IT
 양자컴 막는 방패    이통사  양자암호통신 상용화 속도,IT
유상임 과기정통부 장관  제 이통 알뜰폰 활성화 정책 내년 초 발표 ,IT
  싱크탱크  중국만 유리할   플랫폼 규제 새 행정부 용인치 않을 것 ,IT
트럼프는 우크라이나 전쟁 빨리 끝내겠다는데    는      년 중반쯤 종전  예상,IT
 오겜  야구   등 핫이슈  한눈에 본다  네이버   숏텐츠  확대 배치,IT
과열됐던 가상자산 시장에 추위 오나   지난주 대비     급락 코인브리핑 ,IT
업비트      리포트   비트코인 이더리움 하락에 전체 지표 ,IT
 신분증 티켓 없이  투어스  팬미팅 가자  인터파크 티켓   얼굴패스  도입,IT
삼성  역대 가장 날씬한  갤럭시    준비  초슬림폰  시장 겨냥,IT
내년  월 투어스 팬미팅에  얼굴패스  첫 적용,IT
경쟁 치열해지는 토종    검색 무료화된 챗    서치와 비교해보니,IT
한화시스템  차기 호위함  울산급 배치     운용체계 만든다 국산화 결실맺어,IT
넷플릭스가 꼽은 콘텐츠 성공 비결    프로모션 타이밍 다양한 취향 ,IT
넷플릭스  년의 발자취       콘텐츠 글로벌 성공에 기여 ,IT
세 아이 엄마  뇌사장기기증으로  명에게 생명 선물,IT
 난치질환 치료제 돌파구될까  초소형 유전자가위 기술  국가전략기술로 확인,IT
 과학을 읽다 먹는 비만약 우주탐사   에이전트  내년에는 더 뜬다,IT
 디파이 스테이블코인 비트코인 테크핀  등 새해 키워드는  코인브리핑 ,IT
나쁜 아이에게는 정말 산타가 오지 않을까  달콤한 사이언스 ,IT
언팩 한달 앞으로     중무장  갤럭시    나온다,IT
 월 유성우   월 개기월식     년 밤하늘 주목할 천문현상,IT
연말 대목에도  안 팔릴 것  꽁꽁 얼어붙은  태블릿    ,IT
오픈    인간에 가까운 추론      공개     속도조절론 점화,IT
 초기 비밀번호 꼭 바꾸세요    카메라 보안 체크리스크,IT
   퍼센트   운빨존많겜  표절 주장  뉴노멀소프트에   억원 소송,IT
상장 후 훈풍 지속 온코닉 듀켐 악재 갇힌 코아스템 바이오맥짚기 ,IT
 오픈          개발 지연  데이터 비용 한계 직면 ,IT
       패권 경쟁 위해 자국    개발 적극 지원해야 ,IT
넷플릭스   콘텐츠에 끊임없이 꾸준히 투자 ,IT
  년간  조 쏟아붓는다  네이버 대표  어디에 꽂혔길래,IT
세가  넷플릭스 유사한 자체 구독 서비스 출시 고려 중,IT
 퀄컴 차량용   에    배터리 진단 결합 ,IT
 연차 쓰고   방 가야겠네  직장인들 신바람 난 이유,IT
차 티백 오래 우리면 플라스틱 오염에 노출,IT
 던파 신드롬  다시 쓴 넥슨  내년도 중국 공략    조 매출  초석 다진다,IT
 블루라이트  적신호  안구 건조부터 피부 노화까지 ,IT
업비트 강연 영상 무료로 풀린다   블록체인 대중화 지원,IT
